id,subj,nseq,ntrialsubj,ntrialseq,lasttrial,H,I,D,event,R,P_group,pred_trials,AL,ALV,slat,linger,dwell
329,49,1,5,5,14,-1.4466,0.67807,0.0054313,0,4.7875,100,1,2.0,0.0,384.08,-92.779,1023.1
329,49,1,6,6,14,-1.3568,0.58496,0.0036716,0,6.5793,100,1,0.0,,635.98,945.77,1809.8
329,49,1,7,7,14,-1.2776,0.51457,0.002602,0,6.5793,100,1,0.0,,588.09,884.47,1796.4
329,49,1,8,8,14,-1.2075,0.45943,0.0019129,0,6.5793,100,1,0.0,,820.1,751.15,1853.0
329,49,1,9,9,14,-1.1451,0.41504,0.0014482,0,6.5793,100,1,0.0,,505.44,1081.7,2076.3
329,49,1,10,10,14,-1.0892,0.37851,0.0011233,0,6.5793,100,1,0.0,,694.07,751.1,1946.4
329,49,1,11,11,14,-1.0389,0.34792,0.00088903,0,6.5793,100,1,0.0,,666.03,775.73,2036.3
329,49,1,12,12,14,-0.99339,0.32193,0.00071583,0,6.5793,100,1,0.0,,318.13,651.23,1833.1
329,49,1,13,13,14,-0.95199,0.29956,0.00058497,0,6.5793,100,1,0.0,,276.87,-249.92,973.21
329,49,1,14,14,14,-0.91418,0.28011,0.00048423,1,6.5793,100,1,0.0,,355.43,348.56,1493.1
330,49,2,15,1,9,-1.9219,2.0,0.078072,0,0.0,60,0,0.0,,977.89,1044.4,1566.5
330,49,2,16,2,9,-1.7925,1.3219,0.029447,0,0.69315,60,1,4.0,0.0,820.07,1023.1,1703.1
330,49,2,17,3,9,-1.8424,2.585,0.063322,0,0.69315,60,0,0.0,,575.58,345.42,1269.8
330,49,2,18,4,9,-1.75,1.2224,0.014874,0,1.7918,60,1,0.0,,564.18,1017.3,1526.5
330,49,2,19,5,9,-1.6577,1.0,0.0089239,0,3.1781,60,1,0.0,,729.57,489.41,1259.8
330,49,2,20,6,9,-1.761,3.1699,0.047997,0,3.1781,60,0,0.0,,701.63,1078.1,1876.4
330,49,2,21,7,9,-1.6858,1.0,0.0059698,0,3.1781,60,1,3.0,1.0,-32.997,1049.9,2582.9
330,49,2,22,8,9,-1.7925,3.4594,0.041136,0,1.7918,60,0,0.0,,852.25,921.95,1569.7
330,49,2,23,9,9,-1.7272,1.0,0.0042725,1,3.1781,60,1,0.0,,504.24,973.96,1656.4
331,49,3,24,1,15,-1.9219,2.0,0.078072,0,0.0,80,0,0.0,,922.76,722.63,1299.9
331,49,3,25,2,15,-1.7925,1.3219,0.029447,0,0.69315,80,1,0.0,,624.94,574.74,1449.8
331,49,3,26,3,15,-1.6645,1.0,0.014772,0,1.7918,80,1,0.0,,516.96,1050.1,963.25
331,49,3,27,4,15,-1.75,2.8074,0.057355,0,1.7918,80,0,2.0,0.0,-750.8,92.255,2343.1
331,49,3,28,5,15,-1.6577,1.0,0.0089239,0,3.1781,80,1,2.0,0.0,361.07,584.1,1723.0
331,49,3,29,6,15,-1.571,0.848,0.0058176,0,4.7875,80,1,4.0,0.0,506.33,756.12,873.22
331,49,3,30,7,15,-1.4911,0.73697,0.0040189,0,4.7875,80,1,0.0,,388.43,804.81,1916.4
331,49,3,31,8,15,-1.4183,0.65208,0.0028992,0,4.7875,80,1,0.0,,420.47,153.58,1233.1
331,49,3,32,9,15,-1.5466,3.585,0.038369,0,3.1781,80,0,0.0,,369.13,-264.28,866.58
331,49,3,33,10,15,-1.4838,0.70044,0.0023223,0,4.7875,80,1,1.0,1.0,991.14,790.9,1299.8
331,49,3,34,11,15,-1.4256,0.63743,0.0017997,0,4.7875,80,1,0.0,,336.49,789.53,643.23
331,49,3,35,12,15,-1.3716,0.58496,0.0014243,0,4.7875,80,1,0.0,,245.19,98.319,1353.1
331,49,3,36,13,15,-1.4961,4.0,0.030184,0,3.1781,80,0,0.0,,927.16,260.31,833.15
331,49,3,37,14,15,-1.4466,0.62803,0.0012251,0,3.1781,80,1,1.0,1.0,592.48,82.378,989.89
331,49,3,38,15,15,-1.4003,0.58496,0.0010082,0,4.7875,80,1,0.0,,554.57,1497.5,1033.1
332,49,4,39,1,4,-1.9219,2.0,0.078072,0,0.0,100,0,0.0,,712.87,842.62,1629.7
332,49,4,40,2,4,-1.7925,1.3219,0.029447,0,0.69315,100,1,1.0,0.0,611.6,731.38,1619.8
332,49,4,41,3,4,-1.6645,1.0,0.014772,0,1.7918,100,1,0.0,,1826.7,826.7,499.98
332,49,4,42,4,4,-1.5488,0.80735,0.00856,1,3.1781,100,1,0.0,,542.21,598.72,1556.5
333,49,5,43,1,15,-1.9219,2.0,0.078072,0,0.0,80,0,0.0,,588.49,508.27,1419.8
333,49,5,44,2,15,-1.9183,2.3219,0.070299,0,0.0,80,0,0.0,,880.45,916.82,1536.4
333,49,5,45,3,15,-1.8424,1.585,0.028306,0,0.69315,80,1,0.0,,809.05,668.89,1359.8
333,49,5,46,4,15,-1.75,1.2224,0.014874,0,1.7918,80,1,3.0,1.0,464.44,634.16,1669.7
333,49,5,47,5,15,-1.6577,1.0,0.0089239,0,3.1781,80,1,0.0,,373.16,-406.93,719.91
333,49,5,48,6,15,-1.571,0.848,0.0058176,0,4.7875,80,1,,,,,
333,49,5,49,7,15,-1.6858,3.3219,0.044315,0,3.1781,80,0,,,,,
333,49,5,50,8,15,-1.614,0.87447,0.004198,0,4.7875,80,1,,,,,
333,49,5,51,9,15,-1.5466,0.77761,0.0030736,0,4.7875,80,1,,,,,
333,49,5,52,10,15,-1.4838,0.70044,0.0023223,0,4.7875,80,1,,,,,
333,49,5,53,11,15,-1.6049,3.8074,0.033798,0,3.1781,80,0,0.0,,1265.2,721.68,956.53
333,49,5,54,12,15,-1.5488,0.73697,0.0018925,0,3.1781,80,1,0.0,,787.17,513.68,1226.5
333,49,5,55,13,15,-1.4961,0.67807,0.00151,0,4.7875,80,1,0.0,,252.65,805.68,2053.0
333,49,5,56,14,15,-1.4466,0.62803,0.0012251,0,4.7875,80,1,,,,,
333,49,5,57,15,15,-1.4003,0.58496,0.0010082,0,4.7875,80,1,,,,,
334,49,6,58,1,12,-1.9219,2.0,0.078072,0,0.0,60,0,3.0,0.0,748.33,750.99,1883.0
334,49,6,59,2,12,-1.9183,2.3219,0.070299,0,0.0,60,0,0.0,,347.01,956.69,1779.7
334,49,6,60,3,12,-1.8424,1.585,0.028306,0,0.69315,60,1,1.0,0.0,459.05,1125.4,2166.3
334,49,6,61,4,12,-1.75,1.2224,0.014874,0,1.7918,60,1,,,,,
334,49,6,62,5,12,-1.8366,3.0,0.052297,0,1.7918,60,0,,,,,
334,49,6,63,6,12,-1.761,1.1699,0.008961,0,3.1781,60,1,1.0,0.0,421.73,1098.1,2176.4
334,49,6,64,7,12,-1.6858,1.0,0.0059698,0,3.1781,60,1,4.0,1.0,-449.45,1113.4,1516.4
334,49,6,65,8,12,-1.7296,2.4594,0.02071,0,3.1781,60,0,,,,,
334,49,6,66,9,12,-1.8339,3.585,0.038369,0,1.7918,60,0,,,,,
334,49,6,67,10,12,-1.7783,1.1155,0.004281,0,1.7918,60,1,0.0,,1842.9,750.89,2056.4
334,49,6,68,11,12,-1.7232,1.0,0.0032084,0,3.1781,60,1,0.0,0.0,351.8,-205.0,943.2
334,49,6,69,12,12,-1.7806,2.9069,0.016571,1,1.7918,60,0,,,,,
335,49,7,70,1,5,-1.9219,2.0,0.078072,0,0.0,80,0,0.0,,666.82,609.93,1443.1
335,49,7,71,2,5,-1.7925,1.3219,0.029447,0,0.69315,80,1,1.0,1.0,-224.36,1065.2,613.29
335,49,7,72,3,5,-1.8424,2.585,0.063322,0,0.69315,80,0,0.0,,1400.9,750.92,1239.8
335,49,7,73,4,5,-1.75,1.2224,0.014874,0,1.7918,80,1,4.0,0.0,442.94,726.07,1783.1
335,49,7,74,5,5,-1.6577,1.0,0.0089239,0,3.1781,80,1,0.0,,598.26,564.73,0.0
336,49,8,75,1,15,-1.9219,2.0,0.078072,0,0.0,60,0,0.0,,397.03,-116.43,986.54
336,49,8,76,2,15,-1.7925,1.3219,0.029447,0,0.69315,60,1,0.0,,885.66,1112.2,726.63
336,49,8,77,3,15,-1.8424,2.585,0.063322,0,0.69315,60,0,1.0,0.0,-32.197,950.84,2483.0
336,49,8,78,4,15,-1.9056,2.8074,0.057355,0,0.69315,60,0,0.0,,596.42,-860.24,43.339
336,49,8,79,5,15,-1.8366,1.415,0.014536,0,1.7918,60,1,0.0,,321.79,185.01,1363.2
336,49,8,80,6,15,-1.761,1.1699,0.008961,0,3.1781,60,1,,,,,
336,49,8,81,7,15,-1.7899,2.3219,0.022032,0,2.4849,60,0,,,,,
336,49,8,82,8,15,-1.7296,1.1375,0.0059863,0,2.4849,60,1,0.0,,657.88,-762.17,79.955
336,49,8,83,9,15,-1.8339,3.585,0.038369,0,2.4849,60,0,0.0,,626.6,722.97,1596.4
336,49,8,84,10,15,-1.7783,1.1155,0.004281,0,3.1781,60,1,,,,,
336,49,8,85,11,15,-1.7232,1.0,0.0032084,0,3.1781,60,1,,,,,
336,49,8,86,12,15,-1.75,2.3219,0.01065,0,2.4849,60,0,,,,,
336,49,8,87,13,15,-1.7034,1.0,0.0024975,0,3.1781,60,1,,,,,
336,49,8,88,14,15,-1.6577,0.91754,0.001984,0,3.1781,60,1,,,,,
