"subj" "seq" "trial" "sl" "ltime" "linger" "laway"
"313" 1 5 13 NA NA NA 2
"314" 1 5 14 NA NA NA 2
"315" 1 5 15 NA NA NA 2
"316" 1 6 1 0.331580251436821 -0.58751193113165 -0.181408152463243 0
"317" 1 6 2 -0.429466332395429 0.747571133798496 -0.18044778500363 0
"318" 1 6 3 0.358066205100204 0.209765178834093 -0.180872368512091 0
"319" 1 6 4 0.579759702748295 0.0135034090697061 -0.0538632665216417 0
"320" 1 6 5 NA NA NA 1
"321" 1 6 6 NA NA NA 2
"322" 1 6 7 NA NA NA 2
"323" 1 6 8 NA NA NA 2
"324" 1 6 9 NA NA NA 2
"325" 1 6 10 NA NA NA 2
"326" 1 6 11 NA NA NA 2
"327" 1 6 12 NA NA NA 2
"328" 1 6 13 NA NA NA 2
"329" 1 6 14 NA NA NA 2
"330" 1 6 15 NA NA NA 2
"331" 1 7 1 0.363727324967187 0.165466951490973 -0.180730840675937 0
"332" 1 7 2 -1.38788381673298 1.76000095315347 -0.180629749364399 0
"333" 1 7 3 0.63200375180645 -0.15722673062216 1.17437797223223 0
"334" 1 7 4 0.0374870961755925 0.519670805815084 -0.180993678085937 0
"335" 1 7 5 0.841839225161736 -0.182681531272543 -0.181226188102475 0
"336" 1 7 6 0.655497399254428 -1.12534821349953 -0.781920870394015 0
"337" 1 7 7 NA NA NA 1
"338" 1 7 8 NA NA NA 2
"339" 1 7 9 NA NA NA 2
"340" 1 7 10 NA NA NA 2
"341" 1 7 11 NA NA NA 2
"342" 1 7 12 NA NA NA 2
"343" 1 7 13 NA NA NA 2
"344" 1 7 14 NA NA NA 2
"345" 1 7 15 NA NA NA 2
"346" 1 8 1 1.60189511301726 -1.75797784999713 -0.603626124233973 0
"347" 1 8 2 0.366416356904004 0.0958170366692859 1.27981621016665 0
"348" 1 8 3 -0.253092121111059 0.646348370131981 -0.180690404151322 0
"349" 1 8 4 -0.53937293095585 0.696974915666976 1.10027804087468 0
"350" 1 8 5 -0.584348506470504 0.387028852148018 0.391870566139119 0
"351" 1 8 6 NA NA NA 1
"352" 1 8 7 NA NA NA 2
"353" 1 8 8 NA NA NA 2
"354" 1 8 9 NA NA NA 2
"355" 1 8 10 NA NA NA 2
"356" 1 8 11 NA NA NA 2
"357" 1 8 12 NA NA NA 2
"358" 1 8 13 NA NA NA 2
"359" 1 8 14 NA NA NA 2
"360" 1 8 15 NA NA NA 2
"361" 1 9 1 0.143418779857983 0.0451894802208419 0.826735060983286 0
"362" 1 9 2 0.431529344516925 -0.631749503667819 -0.11612338347183 0
"363" 1 9 3 NA NA NA 0
"364" 1 9 4 0.424978620099416 -0.581193722074267 -0.0222793080577407 1
"365" 1 9 5 NA NA NA 2
"366" 1 9 6 NA NA NA 2
"367" 1 9 7 NA NA NA 2
"368" 1 9 8 NA NA NA 2
"369" 1 9 9 NA NA NA 2
"370" 1 9 10 NA NA NA 2
"371" 1 9 11 NA NA NA 2
"372" 1 9 12 NA NA NA 2
"373" 1 9 13 NA NA NA 2
"374" 1 9 14 NA NA NA 2
"375" 1 9 15 NA NA NA 2
"376" 1 10 1 NA NA NA 2
"377" 1 10 2 NA NA NA 2
"378" 1 10 3 NA NA NA 2
"379" 1 10 4 NA NA NA 2
"380" 1 10 5 NA NA NA 2
"381" 1 10 6 NA NA NA 2
"382" 1 10 7 NA NA NA 2
"383" 1 10 8 NA NA NA 2
"384" 1 10 9 NA NA NA 2
"385" 1 10 10 NA NA NA 2
"386" 1 10 11 NA NA NA 2
"387" 1 10 12 NA NA NA 2
"388" 1 10 13 NA NA NA 2
"389" 1 10 14 NA NA NA 2
"390" 1 10 15 NA NA NA 2
"391" 1 11 1 0.241042770135576 0.602151234133779 -0.18113520592209 0
"392" 1 11 2 -0.461552751070077 0.152749660300273 0.101687956368522 0
"393" 1 11 3 -0.797904144309808 -0.252050412155358 -1.25787898337849 0
"394" 1 11 4 -0.318326418435415 0.614686560903626 1.27668237950896 0
"395" 1 11 5 -0.34658147205723 0.848743351792551 -0.180245602380553 0
"396" 1 11 6 -2.18145151237252 1.55114623455264 0.289768341485469 0
"397" 1 11 7 -0.144964731651689 -0.239484757982035 1.15719244927073 0
"398" 1 11 8 NA NA NA 0
"399" 1 11 9 NA NA NA 0
"400" 1 11 10 NA NA NA 0
"401" 1 11 11 NA NA NA 1
"402" 1 11 12 NA NA NA 2
"403" 1 11 13 NA NA NA 2
"404" 1 11 14 NA NA NA 2
"405" 1 11 15 NA NA NA 2
"406" 1 12 1 0.854465544293631 -0.511612549367125 0.792889689880274 0
"407" 1 12 2 0.293408128905166 -0.030720010678175 0.905111154818905 0
"408" 1 12 3 0.739413392139827 0.380468023862832 -0.181064442004013 0
"409" 1 12 4 2.56792478174739 -1.67579058657869 1.11594719416312 0
"410" 1 12 5 NA NA NA 0
"411" 1 12 6 NA NA NA 0
"412" 1 12 7 NA NA NA 0
"413" 1 12 8 NA NA NA 0
"414" 1 12 9 NA NA NA 0
"415" 1 12 10 NA NA NA 0
"416" 1 12 11 NA NA NA 0
"417" 1 12 12 NA NA NA 0
"418" 1 12 13 NA NA NA 1
"419" 1 12 14 NA NA NA 2
"420" 1 12 15 NA NA NA 2
"421" 1 13 1 NA NA NA 2
"422" 1 13 2 NA NA NA 2
"423" 1 13 3 NA NA NA 2
"424" 1 13 4 NA NA NA 2
"425" 1 13 5 NA NA NA 2
"426" 1 13 6 NA NA NA 2
"427" 1 13 7 NA NA NA 2
"428" 1 13 8 NA NA NA 2
"429" 1 13 9 NA NA NA 2
"430" 1 13 10 NA NA NA 2
"431" 1 13 11 NA NA NA 2
"432" 1 13 12 NA NA NA 2
"433" 1 13 13 NA NA NA 2
"434" 1 13 14 NA NA NA 2
"435" 1 13 15 NA NA NA 2
"436" 1 14 1 NA NA NA 2
"437" 1 14 2 NA NA NA 2
"438" 1 14 3 NA NA NA 2
"439" 1 14 4 NA NA NA 2
"440" 1 14 5 NA NA NA 2
"441" 1 14 6 NA NA NA 2
"442" 1 14 7 NA NA NA 2
"443" 1 14 8 NA NA NA 2
"444" 1 14 9 NA NA NA 2
"445" 1 14 10 NA NA NA 2
"446" 1 14 11 NA NA NA 2
"447" 1 14 12 NA NA NA 2
"448" 1 14 13 NA NA NA 2
"449" 1 14 14 NA NA NA 2
"450" 1 14 15 NA NA NA 2
"451" 1 15 1 NA NA NA 2
"452" 1 15 2 NA NA NA 2
"453" 1 15 3 NA NA NA 2
"454" 1 15 4 NA NA NA 2
"455" 1 15 5 NA NA NA 2
"456" 1 15 6 NA NA NA 2
"457" 1 15 7 NA NA NA 2
"458" 1 15 8 NA NA NA 2
"459" 1 15 9 NA NA NA 2
"460" 1 15 10 NA NA NA 2
"461" 1 15 11 NA NA NA 2
"462" 1 15 12 NA NA NA 2
"463" 1 15 13 NA NA NA 2
"464" 1 15 14 NA NA NA 2
"465" 1 15 15 NA NA NA 2
"466" 1 16 1 NA NA NA 0
"467" 1 16 2 NA NA NA 0
"468" 1 16 3 -2.10158928567759 0.987996679417262 -0.744668722092164 0
"469" 1 16 4 0.343003582596982 -0.669780067626016 -0.332903591934491 1
"470" 1 16 5 NA NA NA 2
"471" 1 16 6 NA NA NA 2
"472" 1 16 7 NA NA NA 2
"473" 1 16 8 NA NA NA 2
"474" 1 16 9 NA NA NA 2
"475" 1 16 10 NA NA NA 2
"476" 1 16 11 NA NA NA 2
"477" 1 16 12 NA NA NA 2
"478" 1 16 13 NA NA NA 2
"479" 1 16 14 NA NA NA 2
"480" 1 16 15 NA NA NA 2
"481" 2 1 1 -0.0161156216506381 0.901351287687941 0.178962154908374 0
"482" 2 1 2 0.0596352167409004 0.674199035656923 0.184138030059133 0
"483" 2 1 3 NA NA NA 0
"484" 2 1 4 0.604982013584227 -0.131903348720171 0.183703337419518 0
"485" 2 1 5 -0.592415602280955 1.03103126494891 0.183885301780287 0
"486" 2 1 6 NA NA NA 0
"487" 2 1 7 -1.48351630591451 1.95753344112348 0.18325853564875 0
"488" 2 1 8 NA NA NA 0
"489" 2 1 9 NA NA NA 0
"490" 2 1 10 -1.66952453011537 1.53133233094869 1.49776907784315 0
"491" 2 1 11 NA NA NA 0
"492" 2 1 12 -1.70763599779131 1.86958397104472 1.40153014925872 0
"493" 2 1 13 0.248462880818371 0.303668929128536 0.183531482189903 0
"494" 2 1 14 NA NA NA 0
"495" 2 1 15 NA NA NA 0
"496" 2 2 1 NA NA NA 0
"497" 2 2 2 0.70963185798245 0.122958040952903 0.184744577928362 0
"498" 2 2 3 0.179781365860727 0.613989030623691 0.183410172616057 0
"499" 2 2 4 -0.0971757817459969 0.799269247589622 0.184269448764133 0
